name,team,level,last_seen
Rkwienke,2,36,"2018-02-18 12:39:32"
Rockssany,1,24,"2018-02-16 00:04:03"
rodeghiero,1,34,"2018-02-15 17:32:08"
Rodrigoeidt,1,27,"2018-02-13 21:10:40"
RodrigoLealDias,1,28,"2018-02-17 22:03:10"
Rodynely,1,35,"2018-02-18 13:47:13"
RogerioTerror,1,35,"2018-02-11 14:21:42"
Rominhou,1,27,"2018-02-17 21:57:46"
Ropkuzinh,2,22,"2018-02-17 22:28:57"
Roriana21,3,23,"2018-02-02 15:47:57"
RoroPL,1,21,"2018-02-18 10:51:49"
RosieneM,1,22,"2018-02-17 21:30:13"
RuffyRS,2,23,"2018-02-09 11:36:09"
runjessy,1,17,"2018-02-09 09:10:20"
ryanneujhar,2,7,"2018-02-02 02:42:55"
S98Lari,1,32,"2018-02-02 09:17:17"
sabrinasg35,3,25,"2018-02-18 13:54:39"
SamuzinGon,1,32,"2018-02-11 04:19:17"
SandroSViana,3,23,"2018-01-29 02:19:32"
sarkatos,2,24,"2018-02-15 19:37:42"
SassaGoncalves,2,6,"2018-02-05 23:01:10"
SchwantzLuan,2,28,"2018-02-18 12:59:32"
Scourlartz,2,33,"2018-02-16 13:12:00"
sennista,1,33,"2018-02-02 19:20:38"
SerenaKaiou,1,38,"2018-02-18 13:56:50"
Shaiifonseca,1,23,"2018-02-07 04:46:41"
shakadeleao,2,22,"2018-02-12 12:40:50"
shevchampz,3,26,"2018-02-08 16:32:43"
Shiikumo,3,26,"2018-01-27 02:32:03"
shikaloiro,2,23,"2018-02-03 23:14:21"
SilvyKiNu,3,27,"2018-02-09 02:22:34"
SimoneZorua,2,36,"2018-02-02 19:14:27"
SirBoregon,2,25,"2018-02-16 20:42:09"
SirCarrion37,1,37,"2018-02-17 19:27:55"
SkyFaallYTBR,2,23,"2018-02-10 03:06:59"
soareskalicki,1,31,"2018-02-16 09:08:29"
SorRobson87,1,24,"2018-02-18 13:15:37"
Souzica07,2,25,"2018-02-14 15:57:46"
Spanglycoffee,2,20,"2018-01-31 14:11:11"
SPSantilli,1,25,"2018-02-16 10:13:50"
SrMichaels,1,27,"2018-02-16 16:09:37"
SrPopo,2,21,"2018-02-18 06:17:32"
SrtBonekitah,3,26,"2018-02-01 21:21:16"
SrUill,3,29,"2018-02-15 17:52:51"
SS53H,1,35,"2018-02-18 13:56:50"
SSouza51,1,28,"2018-02-13 21:12:07"
StelfElf1,3,10,"2018-02-17 03:47:24"
Stobarico,2,20,"2018-02-16 15:52:47"
Sunci22,1,34,"2018-02-14 17:00:57"
T10z40,1,39,"2018-02-18 13:56:50"
TanukeSensei,2,24,"2018-02-14 14:30:37"
TassianeAguiar,1,23,"2018-02-18 13:56:50"
TATAZINHO6,2,13,"2018-02-11 19:07:22"
TatiCassais,2,23,"2018-02-11 01:45:27"
tavicou,2,27,"2018-02-02 04:00:51"
TaylaSdaPaz,2,22,"2018-02-15 10:32:49"
TayssaAvila,3,26,"2018-02-15 17:36:42"
Tchagonzalez,1,37,"2018-02-14 18:18:27"
TcheFC,1,28,"2018-02-17 17:57:41"
Teteuszinh0,3,30,"2018-02-18 07:52:41"
thaisacostaa,1,26,"2018-02-13 21:09:09"
ThaisMacedo00,1,29,"2018-02-12 01:52:32"
ThalesHTa,1,26,"2018-02-05 20:20:56"
thamessscamargo,2,24,"2018-02-06 01:25:07"
Thecelt1,1,31,"2018-02-12 21:03:34"
thejhankzbr,2,30,"2018-02-01 04:19:32"
theolealdrews4,1,14,"2018-02-17 08:57:43"
ThewillShark,3,33,"2018-02-03 23:16:55"
thiagoddacosta,3,12,"2018-02-10 14:29:26"
ThStCt,1,25,"2018-02-15 05:00:15"
TiagoLorenzi,1,32,"2018-02-18 13:29:30"
TiagoSalvatte,1,26,"2018-02-18 13:32:09"
tiagovleal12,2,22,"2018-01-31 18:35:46"
TibabuArmao,1,24,"2018-02-17 18:06:10"
Tilambucco,1,36,"2018-02-18 04:01:32"
Tioique,1,23,"2018-01-31 10:01:14"
TitineKop,2,27,"2018-02-10 18:57:20"
tktakenuchi,3,26,"2018-01-30 19:03:16"
TomateLeRTHX,1,35,"2018-02-17 11:19:48"
TrainerSarfOfc,2,21,"2018-01-27 15:51:33"
Trebor193,1,32,"2018-01-29 17:28:35"
Trigueer,1,23,"2018-02-08 15:12:12"
Trinkain3,1,28,"2018-02-18 12:42:01"
Tuso559,3,26,"2018-02-14 13:24:04"
tvcosta1,2,11,"2018-02-06 20:08:11"
Uiliam13,1,34,"2018-02-18 11:58:51"
UnderVroge,1,12,"2018-02-11 18:23:35"
Uriellon,1,34,"2018-02-17 15:24:17"
uyt2001,2,25,"2018-02-17 10:30:12"
VaiPraDeus,1,34,"2018-02-18 12:18:58"
vasiliyatsev,3,22,"2018-01-30 19:49:46"
VelhoChico32,1,17,"2018-02-17 19:14:44"
VenomInstinctX,3,10,"2018-01-29 20:53:41"
VenomValorX,2,16,"2018-01-30 00:22:02"
Vicpieretti,1,29,"2018-02-09 20:34:07"
Viimartineez,1,25,"2018-02-15 03:37:46"
Vinasc48,2,7,"2018-01-29 20:56:32"
vinicius150278,2,28,"2018-02-15 23:32:18"
ViniciusNolasc,1,16,"2018-01-28 09:15:19"
vinigarcia1307,3,28,"2018-02-18 14:00:46"
Vinipachecos,1,24,"2018-01-30 20:56:11"
ViniParadeda,2,31,"2018-02-08 12:12:09"
Vinitdex,2,27,"2018-01-31 11:16:35"
ViniX2000X,3,28,"2018-02-16 11:19:54"
viollet33,2,21,"2018-02-02 15:18:40"
vitinhoPel,2,21,"2018-01-28 21:29:51"
Vitor52012,2,19,"2018-02-18 03:08:51"
Vittorsbo3,2,23,"2018-02-16 22:40:24"
Wasd013,1,24,"2018-02-18 04:03:49"
WatheverSquall,1,18,"2018-02-16 20:58:27"
Wellington7487,1,30,"2018-02-14 19:23:33"
wellmachado95,2,32,"2018-02-17 18:12:33"
WellNeitzke,1,31,"2018-02-16 22:35:15"
WestruppR,1,27,"2018-02-17 21:17:53"
wiedergrun,1,20,"2018-02-14 10:17:20"
WillmeckZN,1,33,"2018-01-28 03:06:04"
WronskHades,2,23,"2018-02-10 18:21:36"
XablauLosk17,1,10,"2018-02-02 18:45:54"
Xablison,1,21,"2018-02-12 09:51:19"
Xavante1911,1,15,"2018-02-12 11:18:38"
xavanteBob,1,27,"2018-02-12 22:30:20"
XoleianaX,1,22,"2018-02-16 22:35:15"
xrafinha93,3,19,"2018-02-16 04:46:12"
xStrikerZBR,3,23,"2018-02-16 04:46:12"
xVicooo,2,22,"2018-02-07 04:00:22"
xxnightmetalxx,2,19,"2018-02-18 06:17:32"
yeEnxoSouza,2,21,"2018-02-10 03:08:13"
yMik3ly12,1,10,"2018-02-03 23:34:57"
YuriFO7,2,20,"2018-02-16 22:36:19"
yurivegano,1,37,"2018-02-18 13:51:30"
YuriWitch7,1,30,"2018-02-17 16:12:59"
ywhsbshd,2,11,"2018-02-18 03:09:59"
ZeratusFury,3,25,"2018-02-17 20:09:21"
